# fit | chi2 = 40.28 | parameters: omega_b: 2.2350e-02, omega_cdm: 1.2000e-01, Omega_k: 0.0000e+00, Omega_nu: 0.0000e+00, Omega_m: 3.1243e-01, h: 6.7500e-01, A_s: 2.0989e-09, n_s: 9.6500e-01, sigma8: 8.2330e-01, 
# b1: 2.0195, c2: 1.6809, c4: 0.0000, b3: -1.8838, cct: -2.0998, cr1: -2.3403, cr2: -1.2709, ce0: -0.0000, ce1: 0.0000, ce2: -0.0001, b2: 1.1886, b4: 1.1886, 
# k [h/Mpc], P_data_l0 [Mpc/h]^3, sigma_data_l0 [Mpc/h]^3, P_theo_l0 [Mpc/h]^3
0.0162 6.945880e+04 5.052376e+03 7.207038e+04
0.0269 5.537600e+04 2.669419e+03 6.235262e+04
0.0377 4.547990e+04 1.525225e+03 4.712573e+04
0.0485 3.659370e+04 9.706544e+02 3.725544e+04
0.0592 3.209940e+04 6.864299e+02 3.217258e+04
0.0700 2.850840e+04 5.081545e+02 2.835780e+04
0.0808 2.382430e+04 3.829608e+02 2.398100e+04
0.0916 1.990650e+04 2.895060e+02 1.968473e+04
0.1023 1.687880e+04 2.359691e+02 1.657007e+04
0.1131 1.467360e+04 1.899679e+02 1.473372e+04
0.1239 1.389160e+04 1.608583e+02 1.352554e+04
0.1346 1.213490e+04 1.392706e+02 1.233291e+04
0.1454 1.094850e+04 1.182861e+02 1.102636e+04
0.1562 9.747230e+03 1.052554e+02 9.823263e+03
0.1669 8.869040e+03 9.233504e+01 8.890377e+03
0.1777 8.171100e+03 8.160251e+01 8.210863e+03
0.1885 7.746920e+03 7.222105e+01 7.646742e+03
0.1993 7.155290e+03 6.810286e+01 7.108532e+03
0.2100 6.498320e+03 6.199137e+01 6.576553e+03
0.2208 6.094280e+03 5.662888e+01 6.090386e+03
